,Слово,"Частота встречи,раз",Частота встречи в %
0,лев,1,0.0
1,николаевич,12,0.0
2,толстой,35,0.01
3,война,84,0.02
4,и,24237,4.66
5,мир,68,0.01
6,государственное,1,0.0
7,издательство,1,0.0
8,художественная,4,0.0
9,литература,1,0.0
10,москва,80,0.02
11,электронное,2,0.0
12,издание,28,0.01
13,осуществлено,1,0.0
14,в,17850,3.43
15,рамках,1,0.0
16,краудсорсингового,1,0.0
17,проекта,6,0.0
18,весь,176,0.03
19,один,539,0.1
20,клик,3,0.0
21,организаторы,1,0.0
22,государственный,12,0.0
23,музей,5,0.0
24,л,13,0.0
25,н,33,0.01
26,толстого,53,0.01
27,усадьба,5,0.0
28,ясная,5,0.0
29,поляна,4,0.0
30,компания,2,0.0
31,подготовлено,2,0.0
32,на,7426,1.43
33,основе,3,0.0
34,электронных,1,0.0
35,копий,1,0.0
36,томов,12,0.0
37,полного,7,0.0
38,собрания,8,0.0
39,сочинений,15,0.0
40,предоставленных,1,0.0
41,российской,4,0.0
42,государственной,5,0.0
43,библиотекой,2,0.0
44,томного,3,0.0
45,доступно,2,0.0
46,портале,1,0.0
47,предисловие,5,0.0
48,редакционные,3,0.0
49,пояснения,3,0.0
50,к,3807,0.73
51,томам,7,0.0
52,можно,244,0.05
53,прочитать,1,0.0
54,настоящем,19,0.0
55,издании,34,0.01
56,если,209,0.04
57,вы,1211,0.23
58,нашли,14,0.0
59,ошибку,11,0.0
60,пожалуйста,32,0.01
61,напишите,2,0.0
62,нам,205,0.04
63,электронному,1,0.0
64,изданию,13,0.0
65,настоящее,13,0.0
66,представляет,4,0.0
67,собой,200,0.04
68,электронную,1,0.0
69,версию,1,0.0
70,льва,2,0.0
71,николаевича,2,0.0
72,вышедшего,2,0.0
73,свет,57,0.01
74,гг,118,0.02
75,это,2803,0.54
76,уникальное,1,0.0
77,академическое,1,0.0
78,самое,144,0.03
79,полное,16,0.0
80,собрание,3,0.0
81,наследия,1,0.0
82,давно,184,0.04
83,стало,129,0.02
84,библиографической,1,0.0
85,редкостью,1,0.0
86,году,76,0.01
87,сотрудничестве,1,0.0
88,с,6575,1.26
89,при,618,0.12
90,поддержке,1,0.0
91,фонда,1,0.0
92,э,31,0.01
93,меллона,1,0.0
94,координации,1,0.0
95,британского,1,0.0
96,совета,41,0.01
97,осуществили,1,0.0
98,сканирование,1,0.0
99,всех,646,0.12
100,издания,54,0.01
101,однако,90,0.02
102,для,1447,0.28
103,того,1015,0.2
104,чтобы,827,0.16
105,пользоваться,12,0.0
106,всеми,107,0.02
107,преимуществами,2,0.0
108,электронной,1,0.0
109,версии,2,0.0
110,чтение,15,0.0
111,современных,3,0.0
112,устройствах,1,0.0
113,возможность,52,0.01
114,работы,18,0.0
115,текстом,7,0.0
116,предстояло,9,0.0
117,еще,1258,0.24
118,распознать,1,0.0
119,более,471,0.09
120,страниц,6,0.0
121,этого,865,0.17
122,вместе,274,0.05
123,партнером,1,0.0
124,компанией,2,0.0
125,открыли,5,0.0
126,проект,5,0.0
127,сайте,2,0.0
128,проекту,2,0.0
129,присоединились,10,0.0
130,трех,59,0.01
131,тысяч,111,0.02
132,волонтеров,1,0.0
133,которые,742,0.14
134,помощью,13,0.0
135,программы,2,0.0
136,распознавали,1,0.0
137,текст,39,0.01
138,исправляли,1,0.0
139,ошибки,18,0.0
140,буквально,1,0.0
141,за,2123,0.41
142,десять,56,0.01
143,дней,58,0.01
144,прошел,77,0.01
145,первый,203,0.04
146,этап,1,0.0
147,сверки,1,0.0
148,два,319,0.06
149,месяца,38,0.01
150,второй,46,0.01
151,после,957,0.18
152,третьего,31,0.01
153,этапа,1,0.0
154,корректуры,3,0.0
155,тома,35,0.01
156,отдельные,11,0.0
157,произведенияпубликуются,1,0.0
158,электронном,1,0.0
159,виде,50,0.01
160,сохраняется,1,0.0
161,орфография,1,0.0
162,пунктуация,2,0.0
163,печатной,1,0.0
164,руководитель,2,0.0
165,фекла,1,0.0
166,толстая,8,0.0
167,перепечатка,1,0.0
168,разрешается,3,0.0
169,безвозмездно,1,0.0
170,том,850,0.16
171,часть,173,0.03
172,первая,50,0.01
173,х,16,0.0
174,вторая,35,0.01
175,третья,23,0.0
176,четвертая,13,0.0
177,пятая,5,0.0
178,третий,61,0.01
179,четвертый,17,0.0
180,эпилог,47,0.01
181,печатные,3,0.0
182,варианты,5,0.0
183,войны,196,0.04
184,мира,115,0.02
185,обзор,3,0.0
186,содержания,7,0.0
187,по,2353,0.45
188,главам,4,0.0
189,я,3399,0.65
190,указатель,4,0.0
191,собственных,4,0.0
192,имен,4,0.0
193,иллюстрации,2,0.0
194,девятому,4,0.0
195,четырнадцатому,4,0.0
196,редакторы,1,0.0
197,г,3109,0.6
198,а,2104,0.4
199,волков,3,0.0
200,м,110,0.02
201,цявловский,2,0.0
202,размер,5,0.0
203,подлинника,6,0.0
204,поместья,3,0.0
205,мой,337,0.06
206,верный,6,0.0
207,раб,7,0.0
208,ну,663,0.13
209,здравствуйте,14,0.0
210,садитесь,8,0.0
211,рассказывайте,3,0.0
212,так,2158,0.41
213,говорила,280,0.05
214,июле,2,0.0
215,года,128,0.02
216,известная,11,0.0
217,анна,258,0.05
218,павловна,136,0.03
219,шерер,11,0.0
220,фрейлина,3,0.0
221,приближенная,1,0.0
222,императрицы,11,0.0
223,марии,9,0.0
224,феодоровны,2,0.0
225,встречая,6,0.0
226,важного,13,0.0
227,чиновного,1,0.0
228,князя,468,0.09
229,василия,37,0.01
230,первого,69,0.01
231,приехавшего,4,0.0
232,ее,1831,0.35
233,вечер,90,0.02
234,кашляла,3,0.0
235,несколько,425,0.08
236,у,1426,0.27
237,нее,405,0.08
