,word,frequency
0,лев,1
1,николаевич,11
2,толстой,23
3,война,44
4,и,23175
5,миргосударственное,1
6,издательство,1
7,«художественная,1
8,литература»,1
9,"москва,",18
10,1937—1940электронное,1
11,издание,18
12,осуществлено,1
13,в,15748
14,рамках,1
15,краудсорсингового,1
16,проекта,5
17,«весь,3
18,один,451
19,клик»организаторы:,1
20,государственный,12
21,музей,2
22,л.н.,2
23,толстого,22
24,музей-усадьба,3
25,«ясная,3
26,поляна»,3
27,компания,2
28,abbyyподготовлено,1
29,на,7270
30,основе,3
31,электронных,1
32,копий,1
33,томов,10
34,9–12,4
35,полного,6
36,собрания,8
37,сочинений,9
38,л.,9
39,н.,25
40,"толстого,",11
41,предоставленных,1
42,российской,4
43,государственной,5
44,библиотекойэлектронное,1
45,90-томного,3
46,доступно,2
47,портале,1
48,www.tolstoy.ruпредисловие,1
49,редакционные,1
50,пояснения,3
51,к,3765
52,томам,1
53,можно,205
54,прочитать,1
55,настоящем,15
56,изданииесли,1
57,вы,1073
58,нашли,9
59,"ошибку,",8
60,"пожалуйста,",14
61,напишите,2
62,нам,160
63,report.tolstoy.ruпредисловие,1
64,электронному,1
65,изданиюнастоящее,1
66,представляет,4
67,собой,126
68,электронную,1
69,версию,1
70,льва,1
71,николаевича,1
72,вышедшего,2
73,свет,37
74,1928—1958,1
75,гг.,104
76,это,2433
77,уникальное,1
78,академическое,1
79,"издание,",5
80,самое,114
81,полное,14
82,собрание,3
83,наследия,1
84,"л.н.толстого,",1
85,давно,158
86,стало,116
87,библиографической,1
88,редкостью.,1
89,2006,1
90,году,45
91,сотрудничестве,1
92,с,6449
93,библиотекой,1
94,при,595
95,поддержке,1
96,фонда,1
97,э.,3
98,меллона,1
99,координации,1
100,британского,1
101,совета,20
102,осуществили,1
103,сканирование,1
104,всех,559
105,90,1
106,издания.,5
107,однако,51
108,для,1409
109,того,376
110,чтобы,802
111,пользоваться,10
112,всеми,94
113,преимуществами,2
114,электронной,1
115,версии,2
116,(чтение,1
117,современных,3
118,"устройствах,",1
119,возможность,47
120,работы,11
121,"текстом),",1
122,предстояло,8
123,еще,1166
124,распознать,1
125,более,428
126,46,1
127,000,16
128,страниц.,2
129,этого,679
130,вместе,233
131,партнером,1
132,–,2
133,компанией,1
134,"abbyy,",1
135,открыли,5
136,проект,2
137,клик».,1
138,сайте,2
139,readingtolstoy.ru,1
140,проекту,2
141,присоединились,10
142,трех,54
143,тысяч,80
144,"волонтеров,",1
145,которые,683
146,помощью,12
147,программы,1
148,abbyy,1
149,finereader,1
150,распознавали,1
151,текст,30
152,исправляли,1
153,ошибки.,2
154,буквально,1
155,за,1947
156,десять,45
157,дней,42
158,прошел,70
159,первый,185
160,этап,1
161,"сверки,",1
162,два,277
163,месяца,24
164,второй.,2
165,после,538
166,третьего,30
167,этапа,1
168,корректуры,3
169,тома,24
170,отдельные,11
171,произведенияпубликуются,1
172,электронном,1
173,виде,42
174,tolstoy.ru.в,1
175,издании,26
176,сохраняется,1
177,орфография,1
178,пунктуация,1
179,печатной,1
180,толстого.руководитель,1
181,клик»фекла,1
182,толстаяперепечатка,1
183,разрешается,3
184,безвозмездно.,1
185,reproduction,1
186,libre,1
187,pour,116
188,tous,16
189,les,231
190,pays.война,1
191,мир,34
192,"(1863—1869,",2
193,1873)том,1
194,первыйчасть,2
195,первая.i.ii.iii.iv.v.vi.vii.viii.ix.х.xi.xii.xiii.xiv.xv.xvi.xvii.xviii.xix.xx.xxi.xxii.xxiii.xxiv.xxv.часть,1
196,вторая.i.ii.iii.iv.v.vi.vii.viii.ix.x.xi.xii.xiii.xiv.xv.xvi.xvii.xviii.xix.xx.xxi.часть,1
